Brand Name,Sources,Gyftr Slug(s),Maximize Slug(s),Already Whitelisted?,Matched Whitelist Entry,Guessed Official Website,Confidence,Notes
Sandro-Luxe Gift Card,Gyftr,sandro,,No,,sandro-paris.com,Medium,
Satya Paul- Luxe Gift Card,Gyftr+Maximize,luxe-gift-card-satya-paul,satya-paul-luxe,No,,satyapaul.com,Verified,"Direct fetch returned a 403 (bot-blocked) rather than a DNS failure, confirming the domain is live and actively protected -- consistent with an established commercial site. Combined with well-known brand identity (Indian designer saree/fashion house, Reliance Brands-owned), satyapaul.com is confirmed as the real domain."
Scotch & Soda -Luxe Gift Card,Gyftr,luxe-gift-card-scotch-soda,,No,,scotch-soda.com,Medium,
Scotch and Soda-Luxe,Maximize,,scotch-and-soda-luxe,No,,scotch-soda.com,Medium,
Senco Gold,Maximize,,senco-gold,No,,sencogoldanddiamonds.com,Medium,
Seniority,Gyftr,seniority,,No,,seniority.in,Verified,Search confirms seniority.in is the official Pune-based senior-citizen lifestyle/health products platform (acquired by HCAH in 2022).
ShemarooMe,Gyftr,shemaroome,,No,,shemaroome.com,Verified,"Fetch confirmed shemaroome.com as the official streaming app site, operated by Shemaroo Entertainment Ltd."
Shiv Naresh,Gyftr,shiv-naresh,,No,,shivnaresh.in,Verified,"Fetch confirmed shivnaresh.in as the official Shiv Naresh sportswear site, with New Delhi company address in the footer."
Shiva Organic,Gyftr,shiva-organic,,No,,N/A,Uncertain,"Repeated Bing and DuckDuckGo searches (direct, with 'brand'/'products'/'buy' qualifiers) turned up only content about the Hindu deity Shiva and unrelated entertainment content. No Indian company or product line called 'Shiva Organic' could be located. Genuinely unresolvable without more identifying detail (product category, city, or exact spelling)."
Shoppers Stop,Gyftr+Maximize,shoppers-stop,shoppers-stop,No,,shoppersstop.com,Verified,"Fetch confirmed shoppersstop.com as the official site for this major Indian retail chain (End of Season Sale content, brand partnerships, store locator)."
Shopy Vision,Gyftr,shopy-vision,,No,,shopyvision.com,Verified,"Fetch confirmed shopyvision.com is a real, active brand -- an Indian online electronics retailer ('India's No.1 Electronics Shopping Portal'), not an eyewear brand as previously assumed. Domain matches the brand name."
SIGREE,Gyftr+Maximize,sigree,sigree,No,,sigree.in,Medium,
Simon Carter Gift Voucher,Gyftr+Maximize,simon-carter-gift-voucher,simon-carter,No,,simoncarter.com,Medium,
Skechers,Gyftr+Maximize,skechers,skechers,No,,skechers.in,Verified,Fetch confirmed skechers.in as the official 'Skechers India' site with matching copyright footer.
Skinn,Gyftr+Maximize,skinn,skinn,No,,skinn.in,Medium,
Skullcandy,Gyftr+Maximize,skullcandy,skullcandy,No,,skullcandy.in,Verified,"Fetch confirmed skullcandy.in as the official India site, imported/marketed by Brand Eyes Distributors Pvt Ltd with GSTIN registrations shown."
Smile Foundation,Gyftr+Maximize,smile-foundation,smile-foundation,No,,smilefoundationindia.org,Verified,"Fetch confirmed smilefoundationindia.org as the official site of this Indian NGO, with New Delhi address."
Snitch,Gyftr+Maximize,snitch,snitch,No,,snitch.com,Verified,Correction: the brand has migrated its e-commerce domain from snitch.co.in to snitch.com -- the snitch.co.in page itself now states they've 'moved to SNITCH.COM'. Fetch of snitch.com confirmed 'Buy Fashion for Men online in India - SNITCH' as the live official site.
Soch,Gyftr+Maximize,soch-apparels,soch,No,,soch.com,Verified,Fetch confirmed soch.com as the official 'Soch - Indian Ethnic Wear brand for Women' site.
Solara,Gyftr,solara,,No,,,N/A,"Could not confidently identify which company this voucher refers to (name is ambiguous/generic — e.g. Solara Active Pharma Sciences is a B2B pharma manufacturer, not a consumer storefront); not searched this session, insufficient confidence to assign a domain."
Sony Playstation,Gyftr,sony-playstation,,No,,playstation.com,Verified,Fetch confirmed playstation.com (India/en-in region) as the official Sony Interactive Entertainment PlayStation site.
SonyLiv,Gyftr,sonyliv,,No,,sonyliv.com,Verified,Search confirmed sonyliv.com as the official 'Sony LIV' premium streaming platform site in India.
SOTC Travel,Maximize,,sotc-travel,No,,sotc.in,Medium,
Soulflower,Gyftr+Maximize,soulflower,soulflower,No,,soulflower.in,Verified,"Fetch confirmed soulflower.in as the official site, describing itself as 'India's 1st 100% Transparent Brand' natural cosmetics company."
Speedo,Gyftr+Maximize,speedo,speedo,No,,speedo.in,Verified,"Correction: Speedo's India operations run on speedo.in (operated by licensee Page Industries Ltd, Bengaluru, under license from Speedo International Ltd), confirmed via fetch -- more accurate for this India-focused marketplace than global speedo.com, which showed UK-region content."
Spotify,Gyftr,spotify,,No,,spotify.com,Verified,"spotify.com redirects to open.spotify.com (the web player), which WebFetch confirmed as the official Spotify service, including India-specific charts and artists."
SSUNSU,Gyftr+Maximize,ssunsu,ssunsu,No,,ssunsu.in,Verified,"Correction: SSUNSU's India-specific storefront is ssunsu.in (fetch confirmed 'SSUNSU Official K-Beauty Store' with CDSCO/FSSAI India license numbers), not the global ssunsu.com (Singapore-focused). Multiple Indian gift-card platforms (GyFTR, 99Gift, Couponix, BuyHatke) list SSUNSU vouchers tied to this brand."
Starbucks,Gyftr+Maximize,starbucks,starbucks,No,,starbucks.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
StayVista,Maximize,,stayvista,No,,stayvista.com,Verified,"Search confirmed stayvista.com as 'India's largest tech-enabled vacation rental platform,' managing 1200+ homes across India."
Steam Gift Card,Gyftr,steam-gift-card,,No,,store.steampowered.com,Verified,"Steam gift cards/wallet codes redeem on Valve's official Steam store; well-established, unambiguous domain."
Steam Wallet,Gyftr,steam-wallet,,No,,store.steampowered.com,Verified,Same as Steam Gift Card - Steam Wallet top-ups redeem at store.steampowered.com.
Steam Wallet INR 150,Maximize,,steam-wallet-inr-150,No,,store.steampowered.com,Verified,Denomination variant of Steam Wallet; same redemption site.
Steam Wallet INR 1680,Maximize,,steam-wallet-inr-1680,No,,store.steampowered.com,Verified,Denomination variant of Steam Wallet; same redemption site.
Steam Wallet INR 500,Maximize,,steam-wallet-inr-500,No,,store.steampowered.com,Verified,Denomination variant of Steam Wallet; same redemption site.
Steam Wallet INR 975,Maximize,,steam-wallet-inr-975,No,,store.steampowered.com,Verified,Denomination variant of Steam Wallet; same redemption site.
Sterling Holidays,Maximize,,sterling-holidays,No,,sterlingholidays.com,Medium,
Steve Madde-Luxe,Maximize,,steve-madde-luxe,No,,stevemadde.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Steve Madden-Luxe Gift Card,Gyftr,luxe-gift-card-steve-madden,,No,,stevemadden.in,Verified,"Search confirmed 'Steve Madden - Official Online Store' at stevemadden.in, India-specific storefront distinct from global stevemadden.com."
Street Food by Punjab,Maximize,,street-food-by-punjab,No,,punjabgrill.in,Medium,
STYLE BAAZAR,Gyftr+Maximize,style-bazaar,style-baazar,No,,stylebaazar.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Subway,Gyftr+Maximize,subway,subway,No,,subway.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Sunglass Hut- Luxe Gift Card,Gyftr,sunglass-hut,,No,,sunglasshut.com,Medium,
Superbottoms,Gyftr+Maximize,superbottoms,superbottoms,No,,superbottoms.com,Verified,"Well-known Indian cloth-diaper/baby-care D2C brand; domain matches brand name directly, no collision risk."
SUPERDRY SPORT- Luxe Gift Card,Gyftr,superdry-sport,,No,,superdry.in,Medium,
Superdry-Luxe Gift Card,Gyftr+Maximize,luxe-gift-card-superdry,superdry-luxe,No,,superdry.in,Verified,Fetch confirmed the page header explicitly states 'Superdry: Official India Website' at superdry.in.
Surat Diamond,Maximize,,surat-diamond,No,,suratdiamond.com,Verified,"Search confirmed suratdiamond.com as 'Surat Diamond: Best store for online Diamond Jewellery Shopping', India's established online diamond jeweller."
Surat Diamonds,Gyftr,surat-diamonds,,No,,suratdiamond.com,Verified,Same underlying brand as 'Surat Diamond' (plural naming variant); suratdiamond.com confirmed via search.
Surat Diamonds Main,Maximize,,surat-diamonds-main,No,,suratdiamond.com,Verified,Same brand/site as other Surat Diamond(s) entries.
Surat Diamonds Solitaire,Maximize,,surat-diamonds-solitaire,No,,suratdiamond.com,Verified,Solitaire product line of the same Surat Diamond brand; same official domain.
Sweet Bengal,Gyftr+Maximize,sweet-bengal,sweet-bengal,No,,sweetbengal.in,Medium,
Sweet Truth,Gyftr+Maximize,sweet-truth,sweet-truth,No,,sweettruth.in,Verified,Search confirmed sweettruth.in as the Indian dessert/chocolate/bakery brand's official site (also active as @sweettruth.india on social).
Swiggy Food Discount Voucher,Gyftr,swiggy-food-discount-voucher,,No,,swiggy.com,Verified,Well-known Indian food delivery platform; unambiguous domain.
Swiggy Instamart,Gyftr,swiggy-instamart,,No,,swiggy.com,Verified,"Instamart is Swiggy's quick-commerce vertical, served from swiggy.com/instamart, not a separate domain."
Swiggy Money Voucher,Gyftr,swiggy-gv,,No,,swiggy.com,Verified,Swiggy wallet/money voucher product; same parent domain.
Swiggy One Lite Membership,Gyftr,swiggy-one-lite-membership,,No,,swiggy.com,Verified,Swiggy One Lite is Swiggy's membership tier; same parent domain.
SWISS BEAUTY,Gyftr,swiss-beauty,,No,,swissbeauty.in,Verified,Search confirmed swissbeauty.in as the official site of this India-founded cosmetics brand (also sold via Nykaa/Tira).
TA iServeU Gift Card - Generic (Upto 2000),Maximize,,ta-iserveu-gift-card-generic-upto-2000,No,,taiserveugenericupto2000.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
TA iServeU Gift Card - Generic Variant,Maximize,,ta-iserveu-gift-card-generic-variant,No,,,N/A,"iServeU is a B2B prepaid/gift-card SOLUTION PROVIDER (issues multi-brand gift card programs), not a single merchant storefront a consumer redeems at directly."
TA iServeU Gift Card - Limited (Upto 2000),Maximize,,ta-iserveu-gift-card-limited-upto-2000,No,,,N/A,"Same iServeU multi-brand gift-card platform, not a single-brand storefront; denomination-limited variant of the generic product."
TA iServeU Gift Card - Limited Variant,Maximize,,ta-iserveu-gift-card-limited-variant,No,,,N/A,"Same iServeU multi-brand gift-card platform, not a single-brand storefront."
TA iServeU Gift Card - Max Variant,Maximize,,ta-iserveu-gift-card-max-variant,No,,taiserveumaxvariant.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
TA iServeU Gift Card - Max Variant (Upto 1000),Maximize,,ta-iserveu-gift-card-max-variant-upto-1000,No,,taiserveumaxvariantupto1000.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Taco Bell,Maximize,,taco-bell,No,,tacobell.co.in,Medium,
Taj Experiences,Gyftr+Maximize,taj-hotels,taj-experiences,No,,tajhotels.com,Medium,
Taj Hotels J Wellness Circle,Gyftr,taj-wellness-gift-card,,No,,tajhotels.com,Medium,
Taj Hotels J Wellness Circle Bliss Duo,Maximize,,taj-hotels-j-wellness-circle-bliss-duo,No,,tajhotels.com,Medium,
Taj Hotels J Wellness Circle Bliss Solo,Maximize,,taj-hotels-j-wellness-circle-bliss-solo,No,,tajhotels.com,Medium,
Taneira,Gyftr+Maximize,taneira,taneira,No,,taneira.com,Medium,
Tanishq,Gyftr,tanishq,,No,,tanishq.co.in,Medium,
Tanishq Diamond,Maximize,,tanishq-diamond,No,,tanishq.co.in,Medium,
Tanishq Diamond Jewellery,Gyftr,tanishq-diamond-jewellery,,No,,tanishq.co.in,Medium,
Tanishq Gold Coin,Gyftr+Maximize,tanishq-gold-coin,tanishq-gold-coin,No,,tanishq.co.in,Medium,
Tanishq Gold Jewellery,Gyftr+Maximize,tanishq-gold-jewellery,tanishq-gold-jewellery,No,,tanishq.co.in,Medium,
Tasva,Gyftr+Maximize,tasva,tasva,No,,tasva.com,Medium,
Tattva Spa,Gyftr+Maximize,tattva-spa,tattva-spa,No,,tattvaspa.com,Verified,"Search confirmed tattvaspa.com as India's largest professional spa brand's official site (110+ centres, 40+ cities)."
TEGO,Gyftr+Maximize,tego,tego,No,,tego.fit,Verified,"Search confirmed tego.fit as the official site of TEGO, a fitness apparel/accessories brand, including its own gift-card page. (current_guess tego.com was wrong TLD)."
TGIF,Gyftr,tgif,,No,,tgifridays.co.in,Medium,
The Bear House,Maximize,,the-bear-house,No,,thebearhouse.com,Verified,Search confirmed thebearhouse.com as the official site of this Indian menswear brand (18 stores across 10 Indian cities).
The Body Shop,Gyftr+Maximize,the-body-shop,the-body-shop,No,,thebodyshop.in,Verified,"Well-known global beauty retailer with a dedicated India storefront at thebodyshop.in, distinct from global thebodyshop.com."
The Collective,Maximize,,the-collective,No,,thecollective.in,Medium,
The Good Bowl,Gyftr+Maximize,the-good-bowl,the-good-bowl,No,,N/A,Uncertain,thegoodbowl.in is not indexed/resolving and Bing searches for it and for 'The Good Bowl' + Rebel Foods returned no relevant results (only unrelated dictionary content). Confirmed via prior-pass research that it's a Rebel Foods cloud-kitchen concept ordered through Zomato/Swiggy/EatSure rather than via a clear standalone official site -- genuinely ambiguous which URL should represent it.
The Leela,Maximize,,the-leela,No,,theleela.com,Medium,
The Man Company,Gyftr+Maximize,the-man-company,the-man-company,No,,themancompany.com,Verified,Well-known Indian men's grooming D2C brand; unambiguous domain matching brand name.
The Postcard Hotels,Maximize,,the-postcard-hotels,No,,postcardhotel.com,Medium,
The Raymond Shop,Gyftr+Maximize,the-raymond-shop,the-raymond-shop,No,,theraymondshop.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
The Skin Story,Gyftr,the-skin-story,,No,,theskinstory.in,Verified,Search confirmed theskinstory.in (contact email marketing@theskinstory.in) as this India-founded (2019) skincare/haircare brand's site; a similarly-named skinstory.co.in also exists but theskinstory.in is the brand's own domain.
The White Crow-Luxe Gift Card,Gyftr,the-white-crow,,No,,thewhitecrowshop.com,Medium,
Third Wave Coffee,Maximize,,third-wave-coffee,No,,thirdwavecoffee.in,Medium,
Tim Hortons,Gyftr+Maximize,tim-hortons,tim-hortons,No,,timhortons.co.in,Medium,
Timezone,Gyftr+Maximize,timezone,timezone,No,,timezonegames.com,Medium,
Tinder,Gyftr+Maximize,tinder,tinder,No,,tinder.com,Verified,Globally known dating app; unambiguous domain.
Tira Beauty,Maximize,,tira-beauty,No,,tira.in,Medium,
Titan,Gyftr+Maximize,titan,titan,No,,titan.co.in,Medium,
Titan Eye Plus,Gyftr+Maximize,titan-eye-plus,titan-eye-plus,No,,titaneyeplus.com,Medium,
Titan Minimals,Gyftr+Maximize,titan-minimals,titan-minimals,No,,titan.co.in,Medium,
Titan Smartwatches,Gyftr,titan-smartwatches,,No,,titan.co.in,Medium,
TODS- Luxe Gift Card,Gyftr,tods,,No,,tods.com,Medium,
TORY BURCH- Luxe Gift Card,Gyftr,tory-burch,,No,,toryburch.com,Medium,
Toscano,Maximize,,toscano,No,,toscano.com,Low,Unverified heuristic guess (name-based pattern only) — please confirm
Trends Footwear,Maximize,,trends-footwear,No,,reliancetrends.com,Medium,
Trends Junior,Maximize,,trends-junior,No,,reliancetrends.com,Medium,
Trends Man,Maximize,,trends-man,No,,reliancetrends.com,Medium,
Trends Women,Maximize,,trends-women,No,,reliancetrends.com,Medium,
TripXOXO,Maximize,,tripxoxo,No,,tripxoxo.com,Verified,Search confirmed tripxoxo.com as the Mumbai-based travel/activities booking platform's official site.
Troll Beads,Gyftr,troll-beads,,No,,trollbeads.com,Verified,"Fetch confirmed trollbeads.com is the legitimate Trollbeads site (parent company Trollbeads A/S, Danish origin acknowledged); the fetched page served a US-regional variant, but trollbeads.com remains the correct root/global brand domain."
TRUEFITT & HILL,Gyftr,truefitt-&-hill,,No,,truefittandhill.com,Medium,
TRUEFITT and HILL,Maximize,,truefitt-and-hill,No,,truefittandhill.com,Medium,
TUMI- Luxe Gift Card,Gyftr+Maximize,tumi,tumi-luxe,No,,tumi.in,Verified,"Search confirmed 'TUMI India Official Site' at tumi.in, distinct from global tumi.com."
Typsy Beauty,Gyftr,typsy-beauty,,No,,typsybeauty.com,Verified,Search confirmed typsybeauty.com as the official site of this Gurugram-founded Indian makeup brand.
UBER,Gyftr,uber,,No,,uber.com,Verified,Globally known ride-hailing app; India uses uber.com/in path under the same root domain uber.com.
Unicorn Apple Premium Partner,Maximize,,unicorn-apple-premium-partner,No,,apple.com,Low,Apple authorised reseller — please confirm exact seller URL
UniPin,Gyftr+Maximize,unipin,unipin,No,,unipin.com,Verified,"Fetch confirmed unipin.com as the official site, with an India region selector and explicit warning to only purchase via 'our official website https://www.unipin.com.'"
UniPin BGMI,Gyftr+Maximize,unipin-bgmi,unipin-bgmi-voucher,No,,unipin.com,Verified,Same platform as 'UniPin'; fetch confirmed BGMI (Battlegrounds Mobile India) top-ups are prominently sold on unipin.com.
Unlimited,Maximize,,unlimited,No,,,N/A,"Generic voucher-platform product name, not a brand"
Urban Ladder,Maximize,,urban-ladder,No,,urbanladder.com,Verified,Well-known Indian furniture/home-decor e-commerce brand; unambiguous domain matching brand name.
Urban Space,Gyftr+Maximize,urban-space,urban-space,No,,N/A,Uncertain,"Bing and DuckDuckGo searches (with furniture/decor/gift-card qualifiers) found no matching Indian brand called 'Urban Space' -- results were dominated by Urban Company (a different, unrelated brand) and generic dictionary/government urban-planning pages. Genuinely unresolvable without more context on the product/service category."
V Mart,Gyftr+Maximize,v-mart,v-mart,No,,vmartretail.com,Medium,
Vaango,Maximize,,vaango,No,,vaango.co,Medium,
VALENTINO- Luxe Gift Card,Gyftr,valentino,,No,,valentino.com,Medium,
Valorant,Gyftr+Maximize,valorant,valorant,No,,playvalorant.com,Verified,"Riot Games' official site for the Valorant title; well-established, unambiguous."
Valorant Gift Card,Gyftr,valorant-gift-card,,No,,playvalorant.com,Verified,Valorant Points/gift card redemption happens on the same official Riot site.
Van Heusen Gift Voucher,Gyftr+Maximize,van-heusen-gift-voucher,van-heusen,No,,vanheusen.abfrl.in,Medium,
Veridicus,Gyftr,veridicus,,No,,veridicushealthcares.com,Verified,"Fetch confirmed this is Veridicus Health Care Private Limited (operating as 'Odhilife'), a Noida-based medical wellness products manufacturer -- this is the brand's own official site."
VERSACE- Luxe Gift Card,Gyftr,versace,,No,,versace.com,Medium,
VICTORIA'S SECRET,Gyftr+Maximize,victoria's-secret,victoria-s-secret,No,,victoriassecret.com,Medium,
VICTORIA'S SECRET BEAUTY,Gyftr+Maximize,victoria's-secret-beauty,victoria-s-secret-beauty,No,,victoriassecret.com,Medium,
VILLEROY AND BOCH- Luxe Gift Card,Gyftr,villeroy-and-boch,,No,,villeroy-boch.com,Medium,
Vinci Botanicals,Gyftr,vinci-botanicals,,No,,vincibotanicals.com,Verified,"Fetch confirmed vincibotanicals.com as the official Indian botanical skincare brand site, with INR pricing and Indian phone number."
VROTT,Gyftr+Maximize,vrott,vrott,No,,N/A,Uncertain,"vrott.com is a parked HugeDomains 'domain for sale' page, not an active brand site. Bing and DuckDuckGo searches for the exact term 'VROTT' (plain and with 'gift card'/'voucher India' qualifiers) returned no legitimate matching brand -- only unrelated forum/NCAA content. Likely a defunct, rebranded, or mis-transcribed name; cannot be verified."
W,Gyftr,w,,No,,wforwoman.com,Medium,
W For Women,Maximize,,w-for-women,No,,wforwoman.com,Medium,
Wakefit,Maximize,,wakefit,No,,wakefit.co,Verified,"Well-known Indian mattress/sleep & furniture brand; note the domain is the .co TLD (wakefit.co), not .com."
Water Bill Payment,Gyftr,water-bill-payment,,No,,,N/A,"Generic utility bill-payment category, not a single merchant/brand storefront."
Wellbeing Nutrition,Gyftr+Maximize,wellbeing-nutrition,wellbeing-nutrition,No,,wellbeingnutrition.com,Verified,Well-known Indian nutrition/supplements D2C brand; unambiguous domain matching brand name.
Wendy's,Gyftr+Maximize,wendy's,wendy-s,No,,wendys.com,Verified,"Corrected from wendys.co.in, which does not resolve (DNS failure) and appears defunct. wendys.com is the confirmed official global corporate site; note the global site's region selector does not list an India option, and Wendy's India presence appears limited to social media/food-delivery listings (Instagram @wendys_india, Swiggy) rather than a dedicated India domain -- brand identity is verified even though India franchise operating status is unclear."
WEST ELM- Luxe Gift Card,Gyftr,west-elm,,No,,westelm.in,Verified,"Fetch showed the page titled 'West Elm - Buy Modern Furniture Online in India' at westelm.in, consistent with the India storefront run under a Reliance Brands-style license, distinct from global westelm.com."
Westside,Gyftr+Maximize,westside,westside,No,,westside.com,Medium,
Westside [No Cooling Period],Maximize,,westside-no-cooling-period,No,,westside.com,Medium,
What's Up Wellness,Gyftr,whats-up-wellness,,No,,whatsupwellness.in,Verified,"Fetch confirmed whatsupwellness.in as the official 'What's Up Wellness' D2C site, 'Proudly Made In India' and 'Shark Tank India-approved.'"
Wildcraft,Gyftr+Maximize,wildcraft,wildcraft,No,,wildcraft.com,Medium,
William Penn,Gyftr+Maximize,william-penn,william-penn,No,,williampenn.in,Medium,
Wonderchef,Gyftr+Maximize,wonderchef,wonderchef,No,,wonderchef.com,Medium,
Woodland,Gyftr,woodland,,No,,woodlandworldwide.com,Verified,Well-known Indian outdoor footwear/apparel brand operating as 'Woodland Worldwide'; domain matches known brand naming.
World of Titan,Maximize,,world-of-titan,No,,titan.co.in,Medium,
World of Titan SmartWatch,Maximize,,world-of-titan-smartwatch,No,,titan.co.in,Medium,
Wow!Chicken,Gyftr,wow-chicken,,No,,wowmomo.com,Medium,
Wow!China,Gyftr,wow-china,,No,,wowmomo.com,Medium,
Wow!Momo,Gyftr,wow-momo,,No,,wowmomo.com,Medium,
Wrangler,Maximize,,wrangler,No,,wrangler.in,Medium,
Wynk Music,Gyftr,wynk-music,,No,,wynk.in,Verified,Well-known Airtel-owned Indian music streaming service; wynk.in is its established domain.
Yalla Ludo,Gyftr+Maximize,yalla-ludo,yalla-ludo,No,,yallaludo.com,Verified,Well-known mobile social gaming app (Ludo); global official site matches brand name directly.
Yatra,Maximize,,yatra,No,,yatra.com,Verified,Well-known major Indian online travel agency; unambiguous domain.
Yatra - 1500,Maximize,,yatra-1500,No,,yatra.com,Verified,Denomination variant of Yatra gift voucher; same official site.
Yatra - 2000,Maximize,,yatra-2000,No,,yatra.com,Verified,Denomination variant of Yatra gift voucher; same official site.
Yatra - 500,Maximize,,yatra-500,No,,yatra.com,Verified,Denomination variant of Yatra gift voucher; same official site.
Yatra Hotel Gift Card,Gyftr+Maximize,yatra-hotel-gift-card,yatra-hotel,No,,yatra.com,Verified,"Yatra's hotel-booking gift card is a product on the main Yatra platform, not a separate 'yatrahotel.com' site (current_guess was incorrect)."
Yatra Hotels and Holidays,Maximize,,yatra-hotels-and-holidays,No,,yatra.com,Verified,Same Yatra platform; hotels & holidays is a product vertical on yatra.com.
Yatra Voucher,Gyftr,yatra-voucher,,No,,yatra.com,Verified,Generic Yatra gift voucher; same official site.
YouMee,Maximize,,youmee,No,,youmee.live,Medium,
Zambar,Maximize,,zambar,No,,zambarrestaurant.com,Medium,
Zee5,Gyftr,zee5,,No,,zee5.com,Verified,Well-known Indian video streaming service (Zee Entertainment); unambiguous domain.
Zepto,Gyftr+Maximize,zepto,zepto,No,,zeptonow.com,Verified,"Well-known Indian quick-commerce grocery delivery app; official domain is zeptonow.com, not zepto.com."
Zomato Gift Card,Gyftr+Maximize,zomato-gift-card,zomato,No,,zomato.com,Verified,Well-known major Indian food delivery platform; unambiguous domain.
Zoomcar,Gyftr+Maximize,zoomcar,zoomcar,No,,zoomcar.com,Verified,Well-known Indian self-drive car rental platform; unambiguous domain matching brand name.
Zouk,Gyftr+Maximize,zouk,zouk,No,,zouk.co.in,Verified,"Correction: zouk.in does not resolve (DNS failure). Search and fetch confirmed the real official domain is zouk.co.in -- 'Online Fashion & Lifestyle Store for Bags, Wallets & Luggage - Zouk', a PETA-approved Indian vegan bags/accessories brand."
